date_lab_plate	Title	Date	Lab	Plate
2023-04-10_Demengeot_plate_4	2023-04-10 plate_4	2023-04-10	Demengeot	plate_4
2023-04-10_Demengeot_plate_5	2023-04-10 plate_5	2023-04-10	Demengeot	plate_5
2023-04-10_Demengeot_plate_6	2023-04-10 plate_6	2023-04-10	Demengeot	plate_6
2023-04-10_Demengeot_plate_7	2023-04-10 plate_7	2023-04-10	Demengeot	plate_7
2023-04-10_Demengeot_plate_8	2023-04-10 plate_8	2023-04-10	Demengeot	plate_8
2023-04-15_Demengeot_plate_1	2023-04-15 plate_1	2023-04-15	Demengeot	plate_1
2023-04-15_Demengeot_plate_2	2023-04-15 plate_2	2023-04-15	Demengeot	plate_2
2023-04-15_Demengeot_plate_3	2023-04-15 plate_3	2023-04-15	Demengeot	plate_3
2023-04-15_Demengeot_plate_4	2023-04-15 plate_4	2023-04-15	Demengeot	plate_4
2023-04-15_Demengeot_plate_5	2023-04-15 plate_5	2023-04-15	Demengeot	plate_5
2023-04-15_Demengeot_plate_6	2023-04-15 plate_6	2023-04-15	Demengeot	plate_6
2023-04-20_Demengeot_plate_1	2023-04-20 plate_1	2023-04-20	Demengeot	plate_1
2023-04-20_Demengeot_plate_2	2023-04-20 plate_2	2023-04-20	Demengeot	plate_2
2023-04-20_Demengeot_plate_3	2023-04-20 plate_3	2023-04-20	Demengeot	plate_3
2023-04-20_Demengeot_plate_4	2023-04-20 plate_4	2023-04-20	Demengeot	plate_4
2023-04-20_Demengeot_plate_5	2023-04-20 plate_5	2023-04-20	Demengeot	plate_5
2023-04-23_Demengeot_plate_1	2023-04-23 plate_1	2023-04-23	Demengeot	plate_1
2023-04-23_Demengeot_plate_2	2023-04-23 plate_2	2023-04-23	Demengeot	plate_2
2023-04-23_Demengeot_plate_3	2023-04-23 plate_3	2023-04-23	Demengeot	plate_3
2023-04-23_Demengeot_plate_4	2023-04-23 plate_4	2023-04-23	Demengeot	plate_4
2023-04-23_Demengeot_plate_5	2023-04-23 plate_5	2023-04-23	Demengeot	plate_5
2023-04-23_Demengeot_plate_6	2023-04-23 plate_6	2023-04-23	Demengeot	plate_6
2023-04-25_Demengeot_plate_1	2023-04-25 plate_1	2023-04-25	Demengeot	plate_1
2023-04-25_Demengeot_plate_2	2023-04-25 plate_2	2023-04-25	Demengeot	plate_2
2023-04-25_Demengeot_plate_3	2023-04-25 plate_3	2023-04-25	Demengeot	plate_3
2023-04-25_Demengeot_plate_4	2023-04-25 plate_4	2023-04-25	Demengeot	plate_4
2023-04-29_Demengeot_plate_1	2023-04-29 plate_1	2023-04-29	Demengeot	plate_1
2023-04-29_Demengeot_plate_2	2023-04-29 plate_2	2023-04-29	Demengeot	plate_2
2023-04-29_Demengeot_plate_3	2023-04-29 plate_3	2023-04-29	Demengeot	plate_3
2023-04-29_Demengeot_plate_4	2023-04-29 plate_4	2023-04-29	Demengeot	plate_4
2023-04-29_Demengeot_plate_5	2023-04-29 plate_5	2023-04-29	Demengeot	plate_5
2023-04-29_Demengeot_plate_6	2023-04-29 plate_6	2023-04-29	Demengeot	plate_6
2023-04-29_Demengeot_plate_7	2023-04-29 plate_7	2023-04-29	Demengeot	plate_7
2023-05-03_Demengeot_plate_1	2023-05-03 plate_1	2023-05-03	Demengeot	plate_1
2023-05-03_Demengeot_plate_2	2023-05-03 plate_2	2023-05-03	Demengeot	plate_2
2023-05-03_Demengeot_plate_3	2023-05-03 plate_3	2023-05-03	Demengeot	plate_3
2023-05-03_Demengeot_plate_4	2023-05-03 plate_4	2023-05-03	Demengeot	plate_4
2023-05-03_Demengeot_plate_5	2023-05-03 plate_5	2023-05-03	Demengeot	plate_5
2023-05-16_Demengeot_plate_1	2023-05-16 plate_1	2023-05-16	Demengeot	plate_1
2023-05-16_Demengeot_plate_2	2023-05-16 plate_2	2023-05-16	Demengeot	plate_2
2023-05-16_Demengeot_plate_3	2023-05-16 plate_3	2023-05-16	Demengeot	plate_3
2023-05-16_Demengeot_plate_4	2023-05-16 plate_4	2023-05-16	Demengeot	plate_4
2023-05-16_Demengeot_plate_5	2023-05-16 plate_5	2023-05-16	Demengeot	plate_5
2023-05-16_Demengeot_plate_6	2023-05-16 plate_6	2023-05-16	Demengeot	plate_6
2023-05-21_Demengeot_plate_1	2023-05-21 plate_1	2023-05-21	Demengeot	plate_1
2023-05-21_Demengeot_plate_2	2023-05-21 plate_2	2023-05-21	Demengeot	plate_2
2023-05-21_Demengeot_plate_3	2023-05-21 plate_3	2023-05-21	Demengeot	plate_3
2023-05-21_Demengeot_plate_4	2023-05-21 plate_4	2023-05-21	Demengeot	plate_4
2023-05-22_Demengeot_plate_1	2023-05-22 plate_1	2023-05-22	Demengeot	plate_1
2023-05-22_Demengeot_plate_2	2023-05-22 plate_2	2023-05-22	Demengeot	plate_2
2023-05-22_Demengeot_plate_3	2023-05-22 plate_3	2023-05-22	Demengeot	plate_3
2023-05-22_Demengeot_plate_4	2023-05-22 plate_4	2023-05-22	Demengeot	plate_4
2023-05-23_Demengeot_plate_1	2023-05-23 plate_1	2023-05-23	Demengeot	plate_1
2023-05-23_Demengeot_plate_2	2023-05-23 plate_2	2023-05-23	Demengeot	plate_2
2023-05-23_Demengeot_plate_3	2023-05-23 plate_3	2023-05-23	Demengeot	plate_3
2023-05-23_Demengeot_plate_4	2023-05-23 plate_4	2023-05-23	Demengeot	plate_4
2023-05-24_Demengeot_plate_1	2023-05-24 plate_1	2023-05-24	Demengeot	plate_1
2023-05-24_Demengeot_plate_2	2023-05-24 plate_2	2023-05-24	Demengeot	plate_2
2023-05-24_Demengeot_plate_3	2023-05-24 plate_3	2023-05-24	Demengeot	plate_3
2023-05-24_Demengeot_plate_4	2023-05-24 plate_4	2023-05-24	Demengeot	plate_4
2023-05-24_Demengeot_plate_5	2023-05-24 plate_5	2023-05-24	Demengeot	plate_5
2023-05-24_Demengeot_plate_6	2023-05-24 plate_6	2023-05-24	Demengeot	plate_6
2023-05-24_Demengeot_plate_7	2023-05-24 plate_7	2023-05-24	Demengeot	plate_7
2023-05-24_Demengeot_plate_8	2023-05-24 plate_8	2023-05-24	Demengeot	plate_8
2023-06-07_Demengeot_plate_1	2023-06-07 plate_1	2023-06-07	Demengeot	plate_1
2023-06-07_Demengeot_plate_2	2023-06-07 plate_2	2023-06-07	Demengeot	plate_2
